timestamp,cpu_usage,ram_usage,active_users
2024-01-01 00:00:00,18.40893508399338,20.0,152
2024-01-01 01:00:00,59.53631473690972,61.930440597698414,485
2024-01-01 02:00:00,43.91738590460358,42.33271961551892,398
2024-01-01 03:00:00,40.9841048517976,41.94210521447291,320
2024-01-01 04:00:00,25.861238044564697,27.13773249389225,156
2024-01-01 05:00:00,22.00129182079135,20.0,121
2024-01-01 06:00:00,26.941717445644862,20.0,238
2024-01-01 07:00:00,22.19506496832985,20.0,70
2024-01-01 08:00:00,23.348624592707022,22.871221607624456,152
2024-01-01 09:00:00,20.9709453071218,20.0,171
2024-01-01 10:00:00,30.18304838219918,30.59023973365677,264
2024-01-01 11:00:00,41.756646540423354,40.04673901875157,380
2024-01-01 12:00:00,22.59188487702364,23.541284662209797,137
2024-01-01 13:00:00,46.88152075123345,47.966421960946775,422
2024-01-01 14:00:00,20.136928417575806,20.0,149
2024-01-01 15:00:00,50.48234295712576,50.148229407562354,409
2024-01-01 16:00:00,19.865708830493137,20.0,201
2024-01-01 17:00:00,17.846429121101455,20.0,180
2024-01-01 18:00:00,30.561854893909686,21.72950398119027,199
2024-01-01 19:00:00,39.74535244784624,43.39177657750186,358
2024-01-01 20:00:00,33.10739503921591,29.93445122042626,307
2024-01-01 21:00:00,55.76919820010859,54.08574462606161,393
2024-01-01 22:00:00,60.1046497309822,58.94579856032893,463
2024-01-01 23:00:00,39.32930435981482,39.33318504613634,343
2024-01-02 00:00:00,46.78352813447299,47.683282568515004,435
2024-01-02 01:00:00,29.523682971028578,28.473872735416677,241
2024-01-02 02:00:00,54.925759374862515,63.65717520377861,493
2024-01-02 03:00:00,42.51535326278664,42.84292013599839,326
2024-01-02 04:00:00,28.899992662037153,30.49252150225589,210
2024-01-02 05:00:00,46.055233312638826,41.15811254509838,363
2024-01-02 06:00:00,12.119980770746702,20.0,71
2024-01-02 07:00:00,39.617019394210544,42.47905598958124,302
2024-01-02 08:00:00,35.579116511295496,33.36401928463824,285
2024-01-02 09:00:00,50.683201472525674,50.610830327358315,394
2024-01-02 10:00:00,12.935746773189647,20.10614377320151,98
2024-01-02 11:00:00,18.536720708561397,25.13204316618841,108
2024-01-02 12:00:00,28.968270246271718,23.030892609295893,219
2024-01-02 13:00:00,30.09385887737028,29.10979953582822,237
2024-01-02 14:00:00,38.14816093788464,45.234182303027225,320
2024-01-02 15:00:00,29.274859384463024,24.458604907385023,239
2024-01-02 16:00:00,53.84587104047037,56.48944203104786,495
2024-01-02 17:00:00,24.64282277178512,23.939807107705626,224
2024-01-02 18:00:00,61.99555872350537,59.25954843295989,495
2024-01-02 19:00:00,20.64111764005621,20.0,100
